Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2394
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00008445594721706584
power__switching__total,0.00002928246794908773
power__leakage__total,0.0000016566953036090126
power__total,0.00011539510887814686
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2506504241773719
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.25062636009263256
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.20562288564957873
timing__setup__ws__corner:nom_fast_1p32V_m40C,6.639419868485197
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.205623
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,18.911032
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.25138869475405173
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.25136557435891005
timing__hold__ws__corner:nom_slow_1p08V_125C,0.8216204060774054
timing__setup__ws__corner:nom_slow_1p08V_125C,-0.6462617290902533
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-0.6462617290902533
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-0.6462617290902533
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.821620
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,1
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,17.720747
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.25092523213931434
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2509016676549502
timing__hold__ws__corner:nom_typ_1p20V_25C,0.4194375243624572
timing__setup__ws__corner:nom_typ_1p20V_25C,3.884615405965828
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.419438
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,18.479391
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2506504241773719
clock__skew__worst_setup,0.25062636009263256
timing__hold__ws,0.20562288564957873
timing__setup__ws,-0.6462617290902533
timing__hold__tns,0.0
timing__setup__tns,-0.6462617290902533
timing__hold__wns,0
timing__setup__wns,-0.6462617290902533
timing__hold_vio__count,0
timing__hold_r2r__ws,0.205623
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1
timing__setup_r2r__ws,17.720747
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,175
design__instance__area__stdcell,2444
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.0844461
design__instance__utilization__stdcell,0.0844461
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,14
design__instance__area__class:buffer,130.637
design__instance__count__class:inverter,2
design__instance__area__class:inverter,16.3296
design__instance__count__class:sequential_cell,12
design__instance__area__class:sequential_cell,736.646
design__instance__count__class:multi_input_combinational_cell,103
design__instance__area__class:multi_input_combinational_cell,1088.64
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,150.964
design__instance__displacement__mean,0.862
design__instance__displacement__max,16.493
route__wirelength__estimated,3615.96
design__violations,0
design__instance__count__class:timing_repair_buffer,40
design__instance__area__class:timing_repair_buffer,393.725
design__instance__count__class:clock_buffer,4
design__instance__area__class:clock_buffer,78.0192
design__instance__count__setup_buffer,2
design__instance__count__hold_buffer,11
global_route__vias,1111
global_route__wirelength,5868
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,199
route__net__special,2
route__drc_errors__iter:0,21
route__wirelength__iter:0,3803
route__drc_errors__iter:1,6
route__wirelength__iter:1,3829
route__drc_errors__iter:2,6
route__wirelength__iter:2,3820
route__drc_errors__iter:3,0
route__wirelength__iter:3,3819
route__drc_errors,0
route__wirelength,3819
route__vias,1111
route__vias__singlecut,1111
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,124.735
design__instance__count__class:fill_cell,2219
design__instance__area__class:fill_cell,26497.5
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,4
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,4
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,4
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,4
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19982
