Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,5421
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,24
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0010200201068073511
power__switching__total,0.00019642224651761353
power__leakage__total,0.000001418913825546042
power__total,0.0012178611941635609
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.26503944233939986
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2629175562791496
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12693466081963994
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.201123901004074
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.126935
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.566000
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,24
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2750938166237917
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2747580296604971
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6531261827344994
timing__setup__ws__corner:nom_slow_1p08V_125C,10.414613466406148
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.653126
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,14.466114
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,24
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26857372641594796
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2675320596336331
timing__hold__ws__corner:nom_typ_1p20V_25C,0.31518527568892396
timing__setup__ws__corner:nom_typ_1p20V_25C,10.908430023584469
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.315185
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,16.442675
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,24
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26503944233939986
clock__skew__worst_setup,0.2629175562791496
timing__hold__ws,0.12693466081963994
timing__setup__ws,10.414613466406148
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.126935
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,14.466114
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2843
design__instance__area__stdcell,42939.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.714359
design__instance__utilization__stdcell,0.714359
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,5
design__instance__area__class:buffer,36.288
design__instance__count__class:inverter,133
design__instance__area__class:inverter,723.946
design__instance__count__class:sequential_cell,332
design__instance__area__class:sequential_cell,16264.3
design__instance__count__class:multi_input_combinational_cell,1607
design__instance__area__class:multi_input_combinational_cell,14863.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,5032.19
design__instance__displacement__mean,1.77
design__instance__displacement__max,13.26
route__wirelength__estimated,67284.4
design__violations,0
design__instance__count__class:timing_repair_buffer,723
design__instance__area__class:timing_repair_buffer,10236.8
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,731.203
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,83.4624
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,550
global_route__vias,16536
global_route__wirelength,116388
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2848
route__net__special,2
route__drc_errors__iter:0,965
route__wirelength__iter:0,77276
route__drc_errors__iter:1,394
route__wirelength__iter:1,76664
route__drc_errors__iter:2,316
route__wirelength__iter:2,76427
route__drc_errors__iter:3,5
route__wirelength__iter:3,76268
route__drc_errors__iter:4,0
route__wirelength__iter:4,76264
route__drc_errors,0
route__wirelength,76264
route__vias,16279
route__vias__singlecut,16279
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,403.79
design__instance__count__class:fill_cell,2578
design__instance__area__class:fill_cell,17169.7
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,23
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,23
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,23
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,23
timing__unannotated_net_filtered__count,0
