Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,5707
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,23
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.001108422176912427
power__switching__total,0.00032670763903297484
power__leakage__total,0.0000013206432640799903
power__total,0.001436450402252376
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.3228660763462648
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.322964886198251
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12247220251267903
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.448605054690143
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.122472
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.215103
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,23
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.41721174917973947
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.41730872716368317
timing__hold__ws__corner:nom_slow_1p08V_125C,0.635898185440335
timing__setup__ws__corner:nom_slow_1p08V_125C,10.574281305431356
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.635898
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,10.574282
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,23
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.35746273619579183
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.3575606856249096
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3141602622524494
timing__setup__ws__corner:nom_typ_1p20V_25C,11.293021948332662
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.314160
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,13.959286
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,23
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.3228660763462648
clock__skew__worst_setup,0.322964886198251
timing__hold__ws,0.12247220251267903
timing__setup__ws,10.574281305431356
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.122472
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,10.574282
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,3171
design__instance__area__stdcell,44051.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.732862
design__instance__utilization__stdcell,0.732862
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,3
design__instance__area__class:buffer,21.7728
design__instance__count__class:inverter,151
design__instance__area__class:inverter,821.923
design__instance__count__class:sequential_cell,305
design__instance__area__class:sequential_cell,14941.6
design__instance__count__class:multi_input_combinational_cell,2169
design__instance__area__class:multi_input_combinational_cell,20312.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,4352.31
design__instance__displacement__mean,1.372
design__instance__displacement__max,26.94
route__wirelength__estimated,67421.3
design__violations,0
design__instance__count__class:timing_repair_buffer,499
design__instance__area__class:timing_repair_buffer,7077.97
design__instance__count__class:clock_buffer,34
design__instance__area__class:clock_buffer,801.965
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,74.3904
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,381
global_route__vias,18805
global_route__wirelength,116272
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3173
route__net__special,2
route__drc_errors__iter:0,980
route__wirelength__iter:0,74336
route__drc_errors__iter:1,512
route__wirelength__iter:1,73693
route__drc_errors__iter:2,406
route__wirelength__iter:2,73650
route__drc_errors__iter:3,7
route__wirelength__iter:3,73481
route__drc_errors__iter:4,0
route__wirelength__iter:4,73476
route__drc_errors,0
route__wirelength,73476
route__vias,18907
route__vias__singlecut,18907
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,325.875
design__instance__count__class:fill_cell,2536
design__instance__area__class:fill_cell,16057.4
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,29
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,29
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,29
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,29
