Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,20
design__inferred_latch__count,0
design__instance__count,9395
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,38
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0017999715637415648
power__switching__total,0.0003258837969042361
power__leakage__total,0.00000495641324960161
power__total,0.0021308118011802435
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.26575292718635396
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2623207003642309
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1145062965745511
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.386066078921981
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.114506
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.554060
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,38
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2803326261582541
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2773612806822632
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6249535510428936
timing__setup__ws__corner:nom_slow_1p08V_125C,12.390512966350583
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.624954
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,14.483706
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,38
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2715367174634423
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26746700056255
timing__hold__ws__corner:nom_typ_1p20V_25C,0.29678166320073535
timing__setup__ws__corner:nom_typ_1p20V_25C,13.658122130975457
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.296782
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,16.420267
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,38
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26575292718635396
clock__skew__worst_setup,0.2623207003642309
timing__hold__ws,0.1145062965745511
timing__setup__ws,12.390512966350583
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114506
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,14.483706
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,2857
design__instance__area__stdcell,55912.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.441351
design__instance__utilization__stdcell,0.441351
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,11
design__instance__area__class:buffer,79.8336
design__instance__count__class:inverter,49
design__instance__area__class:inverter,266.717
design__instance__count__class:sequential_cell,621
design__instance__area__class:sequential_cell,30422
design__instance__count__class:multi_input_combinational_cell,1366
design__instance__area__class:multi_input_combinational_cell,12187.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,14032.4
design__instance__displacement__mean,4.911
design__instance__displacement__max,48.42
route__wirelength__estimated,54864.4
design__violations,0
design__instance__count__class:timing_repair_buffer,739
design__instance__area__class:timing_repair_buffer,11541.4
design__instance__count__class:clock_buffer,54
design__instance__area__class:clock_buffer,1273.71
design__instance__count__class:clock_inverter,17
design__instance__area__class:clock_inverter,141.523
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,681
global_route__vias,15527
global_route__wirelength,91130
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2854
route__net__special,2
route__drc_errors__iter:0,486
route__wirelength__iter:0,55516
route__drc_errors__iter:1,130
route__wirelength__iter:1,55143
route__drc_errors__iter:2,98
route__wirelength__iter:2,55158
route__drc_errors__iter:3,1
route__wirelength__iter:3,55178
route__drc_errors__iter:4,0
route__wirelength__iter:4,55179
route__drc_errors,0
route__wirelength,55179
route__vias,13555
route__vias__singlecut,13555
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,11
design__critical_disconnected_pin__count,0
route__wirelength__max,529.34
design__instance__count__class:fill_cell,6538
design__instance__area__class:fill_cell,70772.5
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,33
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,33
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,33
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,33
timing__unannotated_net_filtered__count,0
