Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,2568
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0005781907238997519
power__switching__total,0.00011578609701246023
power__leakage__total,7.418307177431416E-7
power__total,0.0006947186775505543
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2588047072125308
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2594385890663679
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11339068893670497
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.39950832661741
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.113391
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,18.275215
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.26038269499763467
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.26054595329802305
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6156807460343665
timing__setup__ws__corner:nom_slow_1p08V_125C,10.90835275205977
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.615681
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,16.182934
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.25904926159619657
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.25948174898767085
timing__hold__ws__corner:nom_typ_1p20V_25C,0.29570086105569554
timing__setup__ws__corner:nom_typ_1p20V_25C,11.217537438664339
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.295701
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,17.499638
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2588047072125308
clock__skew__worst_setup,0.2594385890663679
timing__hold__ws,0.11339068893670497
timing__setup__ws,10.90835275205977
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.113391
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.182934
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1284
design__instance__area__stdcell,19686.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.680208
design__instance__utilization__stdcell,0.680208
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:inverter,43
design__instance__area__class:inverter,234.058
design__instance__count__class:sequential_cell,146
design__instance__area__class:sequential_cell,7152.36
design__instance__count__class:multi_input_combinational_cell,781
design__instance__area__class:multi_input_combinational_cell,7286.63
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
flow__warnings__count:STA-0122,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,1569.14
design__instance__displacement__mean,1.222
design__instance__displacement__max,11.04
route__wirelength__estimated,22300.6
design__violations,0
design__instance__count__class:timing_repair_buffer,251
design__instance__area__class:timing_repair_buffer,3781.21
design__instance__count__class:clock_buffer,49
design__instance__area__class:clock_buffer,1155.77
design__instance__count__class:clock_inverter,14
design__instance__area__class:clock_inverter,76.2048
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,216
global_route__vias,7090
global_route__wirelength,39952
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1289
route__net__special,2
route__drc_errors__iter:0,229
route__wirelength__iter:0,23670
route__drc_errors__iter:1,48
route__wirelength__iter:1,23528
route__drc_errors__iter:2,50
route__wirelength__iter:2,23533
route__drc_errors__iter:3,0
route__wirelength__iter:3,23535
route__drc_errors,0
route__wirelength,23535
route__vias,6703
route__vias__singlecut,6703
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,428.76
design__instance__count__class:fill_cell,1284
design__instance__area__class:fill_cell,9255.25
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,27
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,27
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,27
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,27
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19974
